"コード","銘柄名","市場","現在値","前日比(%)"
"7692","アースインフィニティ","東S","95","-2.0(-2.06%)"
"7694","いつも","東G","636","-33.0(-4.93%)"
"7695","交換できるくん","東G","2100","-25.0(-1.18%)"
"7698","アイスコ","東S","1610","+5.0(+0.31%)"
"7699","オムニ・プラス・システム","東G","520","-22.0(-4.06%)"
"7701","島津製作所","東P","4210.0","+29.0(+0.69%)"
"7702","ＪＭＳ","東S","523","-2.0(-0.38%)"
"7705","ジーエルサイエンス","東S","2748","-60.0(-2.14%)"
"7707","プレシジョン・システム・サイエ","東G","199","-2.0(-1.00%)"
"7709","クボテック","東S","228","-11.0(-4.60%)"
"7711","助川電気工業","東S","1460","-45.0(-2.99%)"
"7713","シグマ光機","東S","1554","-7.0(-0.45%)"
"7715","長野計器","東P","2444","-97.0(-3.82%)"
"7716","ナカニシ","東S","2241","-47.0(-2.05%)"
"7717","ブイ・テクノロジー","東P","2581","+4.0(+0.16%)"
"7718","スター精密","東P","1773","-32.0(-1.77%)"
"7719","東京衡機","東S","308","+19.0(+6.57%)"
"7721","東京計器","東P","2572","-109.0(-4.07%)"
"7722","国際計測器","東S","521","+1.0(+0.19%)"
"7723","愛知時計電機","東P","2318","-71.0(-2.97%)"
"7725","インターアクション","東P","1466","-46.0(-3.04%)"
"7726","黒田精工","東S","1420","+0.0(+0.00%)"
"7727","オーバル","東S","558","-19.0(-3.29%)"
"7729","東京精密","東P","11160.0","-465.0(-4.00%)"
"7730","マニー","東P","1821.0","+41.0(+2.30%)"
"7731","ニコン","東P","1530.5","-36.0(-2.30%)"
"7732","トプコン","東P","1707.0","-25.0(-1.44%)"
"7733","オリンパス","東P","2248.5","+60.0(+2.74%)"
"7734","理研計器","東P","3560","-35.0(-0.97%)"
"7735","ＳＣＲＥＥＮ　ＨＬＤＧ","東P","17905.0","-615.0(-3.32%)"
"7739","キヤノン電子","東P","2298","-48.0(-2.05%)"
"7740","タムロン","東P","6640","-200.0(-2.92%)"
"7741","ＨＯＹＡ","東P","17525.0","+505.0(+2.97%)"
"7743","シード","東P","599","-11.0(-1.80%)"
"7744","ノーリツ鋼機","東P","3025","-60.0(-1.94%)"
"7745","Ａ＆ＤホロンＨＬＤＧ","東P","2841","-132.0(-4.44%)"
"7746","岡本硝子","東S","134","-1.0(-0.74%)"
"7747","朝日インテック","東P","2381.0","+64.5(+2.78%)"
"7749","メディキット","東S","2930","+25.0(+0.86%)"
"7751","キヤノン","東P","4419.0","-69.0(-1.54%)"
"7752","リコー","東P","1369.5","-25.5(-1.83%)"
"7760","ＩＭＶ","東S","614","-23.0(-3.61%)"
"7762","シチズン時計","東P","1049","-30.0(-2.78%)"
"7769","リズム","東P","2931","-89.0(-2.95%)"
"7771","日本精密","東S","74","-1.0(-1.33%)"
"7774","ジャパン・ティッシュエンジニア","東G","645","-36.0(-5.29%)"
"7775","大研医器","東S","560","+4.0(+0.72%)"
"7776","セルシード","東G","210","-6.0(-2.78%)"
"7777","スリー・ディー・マトリックス","東G","119","-3.0(-2.46%)"
"7779","ＣＹＢＥＲＤＹＮＥ","東G","199","+0.0(+0.00%)"
"7780","メニコン","東P","1462.5","+11.5(+0.79%)"
"7781","平山ＨＬＤＧ","東S","1289","-51.0(-3.81%)"
"7782","シンシア","東S","502","-6.0(-1.18%)"
"7791","ドリームベッド","東S","773","-7.0(-0.90%)"
"7792","コラントッテ","東G","901","-20.0(-2.17%)"
"7793","イメージ・マジック","東G","1111","-10.0(-0.89%)"
"7794","イーディーピー","東G","1115","-22.0(-1.93%)"
"7795","ＫＹＯＲＩＴＳＵ","東S","172","-5.0(-2.82%)"
"7800","アミファ","東S","639","-3.0(-0.47%)"
"7803","ブシロード","東G","368","-9.0(-2.39%)"
"7804","ビーアンドピー","東S","1823","-33.0(-1.78%)"
"7805","プリントネット","東S","601","+11.0(+1.86%)"
"7806","ＭＴＧ","東G","1497","-27.0(-1.77%)"
"7807","幸和製作所","東S","1290","-60.0(-4.44%)"
"7808","シー・エス・ランバー","東S","3390","-255.0(-7.00%)"
"7809","壽屋","東S","1934","-5.0(-0.26%)"
"7810","クロスフォー","東S","219","+0.0(+0.00%)"
"7811","中本パックス","東S","1660","-9.0(-0.54%)"
"7812","クレステック","東S","1881","-18.0(-0.95%)"
"7813","プラッツ","東G","776","-67.0(-7.95%)"
"7814","日本創発グループ","東S","560","-6.0(-1.06%)"
"7815","東京ボード工業","東S","1028","-41.0(-3.84%)"
"7816","スノーピーク","東P","1246","+3.0(+0.24%)"
"7817","パラマウントベッドＨＬＤＧ","東P","2737","-23.0(-0.83%)"
"7818","トランザクション","東P","1801","-169.0(-8.58%)"
"7819","粧美堂","東S","596","-11.0(-1.81%)"
"7820","ニホンフラッシュ","東P","916","-6.0(-0.65%)"
"7821","前田工繊","東P","3345","-15.0(-0.45%)"
"7822","永大産業","東S","281","-7.0(-2.43%)"
"7823","アートネイチャー","東S","759","-5.0(-0.65%)"
"7826","フルヤ金属","東P","11640","-430.0(-3.56%)"
"7827","オービス","東S","1403","+74.0(+5.57%)"
"7829","サマンサタバサジャパン","東G","61","-2.0(-3.17%)"
"7831","ウイルコＨＬＤＧ","東S","134","-1.0(-0.74%)"
"7832","バンダイナムコＨＬＤＧ","東P","2877.5","-2.5(-0.09%)"
"7833","アイフィスジャパン","東S","607","+1.0(+0.17%)"
"7836","アビックス","東S","93","-1.0(-1.06%)"
"7837","アールシーコア","東S","471","+0.0(+0.00%)"
"7839","ＳＨＯＥＩ","東P","2186","+23.0(+1.06%)"
"7840","フランスベッドＨＬＤＧ","東P","1188","-34.0(-2.78%)"
"7841","遠藤製作所","東S","1022","-22.0(-2.11%)"
"7844","マーベラス","東P","674","-8.0(-1.17%)"
"7846","パイロットコーポレーション","東P","4106.0","-36.0(-0.87%)"
"7847","グラファイトデザイン","東S","752","-27.0(-3.47%)"
"7849","スターツ出版","東S","3805","-115.0(-2.93%)"
"7850","総合商研","東S","980","-3.0(-0.31%)"
"7851","カワセコンピュータサプライ","東S","221","-13.0(-5.56%)"
"7856","萩原工業","東P","1592","-46.0(-2.81%)"
"7857","セキ","東S","-","- (-%)"
"7859","アルメディオ","東S","986","-30.0(-2.95%)"
"7860","エイベックス","東P","1281","-4.0(-0.31%)"
"7863","平賀","東S","899","-1.0(-0.11%)"
"7864","フジシールインターナショナル","東P","2055","-59.0(-2.79%)"
"7865","ピープル","東S","912","-9.0(-0.98%)"
"7867","タカラトミー","東P","2568.5","-66.5(-2.52%)"
"7868","広済堂ＨＬＤＧ","東P","684","-7.0(-1.01%)"
"7871","フクビ化学工業","東S","885","-11.0(-1.23%)"
"7872","エステールＨＬＤＧ","東S","649","-2.0(-0.31%)"
"7874","レック","東P","1150","-3.0(-0.26%)"
"7875","竹田ｉＰＨＬＤＧ","東S","849","-16.0(-1.85%)"
"7877","永大化工","東S","1491","-39.0(-2.55%)"
"7878","光・彩","東S","2275","-7.0(-0.31%)"
"7879","ノダ","東S","1156","-14.0(-1.20%)"
"7883","サンメッセ","東S","372","+1.0(+0.27%)"
"7885","タカノ","東S","1063","-50.0(-4.49%)"
"7886","ヤマト・インダストリー","東S","1214","-46.0(-3.65%)"
"7887","南海プライウッド","東S","6910","-140.0(-1.99%)"
"7888","三光合成","東P","670","-22.0(-3.18%)"
"7893","プロネクサス","東P","1139","-12.0(-1.04%)"
"7896","セブン工業","東S","501","-2.0(-0.40%)"
"7897","ホクシン","東S","122","-1.0(-0.81%)"
"7898","ウッドワン","東S","1000","-22.0(-2.15%)"
"7901","マツモト","東S","1909","-35.0(-1.80%)"
"7902","ソノコム","東S","895","-5.0(-0.56%)"
"7906","ヨネックス","東S","1207","-37.0(-2.97%)"
"7908","きもと","東S","213","-8.0(-3.62%)"
"7911","ＴＯＰＰＡＮＨＬＤＧ","東P","3674.0","-82.0(-2.18%)"
"7912","大日本印刷","東P","4514.0","-30.0(-0.66%)"
"7914","共同印刷","東P","3285","-140.0(-4.09%)"
"7915","ＮＩＳＳＨＡ","東P","1534","-13.0(-0.84%)"
"7916","光村印刷","東S","1573","-22.0(-1.38%)"
"7917","藤森工業","東P","4310","-115.0(-2.60%)"
"7918","ヴィアＨＬＤＧ","東S","126","-1.0(-0.79%)"
"7919","野崎印刷紙業","東S","164","-3.0(-1.80%)"
"7921","ＴＡＫＡＲＡ＆ＣＯＭＰＡＮＹ","東P","2588","-60.0(-2.27%)"
"7922","三光産業","東S","416","-4.0(-0.95%)"
"7923","トーイン","東S","619","-10.0(-1.59%)"
"7925","前澤化成工業","東P","1751","-35.0(-1.96%)"
"7927","ムトー精工","東S","1895","-25.0(-1.30%)"
"7928","旭化学工業","東S","565","-6.0(-1.05%)"
"7931","未来工業","東P","3930","-145.0(-3.56%)"
"7932","ニッピ","東S","5490","-70.0(-1.26%)"
"7936","アシックス","東P","6749.0","-231.0(-3.31%)"
"7937","ツツミ","東S","2110","-1.0(-0.05%)"
"7938","リーガルコーポレーション","東S","2080","-18.0(-0.86%)"
"7939","研創","東S","518","+1.0(+0.19%)"
"7940","ウェーブロックＨＬＤＧ","東S","665","-13.0(-1.92%)"
"7942","ＪＳＰ","東P","2341","-51.0(-2.13%)"
"7943","ニチハ","東P","3630","-40.0(-1.09%)"
"7944","ローランド","東P","4350","+10.0(+0.23%)"
"7946","光陽社","東S","1683","+3.0(+0.18%)"
"7947","エフピコ","東P","2731.5","-81.5(-2.90%)"
"7949","小松ウオール工業","東P","3055","-60.0(-1.93%)"
"7951","ヤマハ","東P","3197.0","+28.0(+0.88%)"
"7952","河合楽器製作所","東P","3605","-10.0(-0.28%)"
"7953","菊水化学工業","東S","399","-8.0(-1.97%)"
"7955","クリナップ","東P","747","-11.0(-1.45%)"
"7956","ピジョン","東P","1408.0","-2.0(-0.14%)"
"7957","フジコピアン","東S","1581","+2.0(+0.13%)"
"7958","天馬","東P","2221","-8.0(-0.36%)"
"7962","キングジム","東P","885","-6.0(-0.67%)"
"7963","興研","東S","1640","+12.0(+0.74%)"
"7965","象印マホービン","東P","1447","-32.0(-2.16%)"
"7966","リンテック","東P","3070","-75.0(-2.38%)"
"7970","信越ポリマー","東P","1517","-32.0(-2.07%)"
"7971","東リ","東S","376","-11.0(-2.84%)"
"7972","イトーキ","東P","1788","-83.0(-4.44%)"
"7974","任天堂","東P","7528.0","-140.0(-1.83%)"
"7975","リヒトラブ","東S","972","+4.0(+0.41%)"
"7976","三菱鉛筆","東P","2497","-67.0(-2.61%)"
"7979","松風","東P","2872","-55.0(-1.88%)"
"7980","重松製作所","東S","755","-4.0(-0.53%)"
"7981","タカラスタンダード","東P","1827","-35.0(-1.88%)"
"7983","ミロク","東S","1505","+11.0(+0.74%)"
"7984","コクヨ","東P","2632.5","-7.5(-0.28%)"
"7985","ネポン","東S","-","- (-%)"
"7986","日本アイ・エス・ケイ","東S","1458","-10.0(-0.68%)"
"7987","ナカバヤシ","東S","522","-6.0(-1.14%)"
"7988","ニフコ","東P","3875.0","-54.0(-1.37%)"
"7989","立川ブラインド工業","東P","1395","-32.0(-2.24%)"
"7990","グローブライド","東P","1919","-16.0(-0.83%)"
"7991","マミヤ・オーピー","東S","1557","-41.0(-2.57%)"
"7992","セーラー万年筆","東S","138","+0.0(+0.00%)"
"7994","オカムラ","東P","2321","-26.0(-1.11%)"
"7995","バルカー","東P","4665","-145.0(-3.01%)"
"7997","くろがね工作所","東S","885","-5.0(-0.56%)"
"7999","ＭＵＴＯＨ　ＨＬＤＧ","東S","2204","-59.0(-2.61%)"
"8001","伊藤忠商事","東P","6659.0","-153.0(-2.25%)"
"8002","丸紅","東P","2661.5","-91.5(-3.32%)"
"8005","スクロール","東P","924","-16.0(-1.70%)"
"8006","ユアサ・フナショク","東S","3465","-5.0(-0.14%)"
"8007","高島","東P","1190","-23.0(-1.90%)"
"8008","ヨンドシーＨＬＤＧ","東P","1877","-27.0(-1.42%)"
"8011","三陽商会","東P","2728","-136.0(-4.75%)"
"8012","長瀬産業","東P","2630.5","-32.5(-1.22%)"
"8013","ナイガイ","東S","261","-2.0(-0.76%)"
"8014","蝶理","東P","3320","-100.0(-2.92%)"
"8015","豊田通商","東P","9808.0","-297.0(-2.94%)"
"8016","オンワードＨＬＤＧ","東P","618","-26.0(-4.04%)"
"8018","三共生興","東S","736","-4.0(-0.54%)"
"8020","兼松","東P","2525","-95.0(-3.63%)"
"8022","美津濃","東P","7330","-240.0(-3.17%)"
"8023","大興電子通信","東S","990","-46.0(-4.44%)"
"8025","ツカモトコーポレーション","東S","1231","-16.0(-1.28%)"
"8029","ルックＨＬＤＧ","東S","2828","-138.0(-4.65%)"
"8030","中央魚類","東S","3265","+15.0(+0.46%)"
"8031","三井物産","東P","7168.0","-302.0(-4.04%)"
"8032","日本紙パルプ商事","東P","5290","-100.0(-1.86%)"
"8035","東京エレクトロン","東P","37540.0","-1,750.0(-4.45%)"
"8037","カメイ","東P","2058","-69.0(-3.24%)"
"8038","東都水産","東S","-","- (-%)"
"8039","築地魚市場","東S","3630","+5.0(+0.14%)"
"8040","東京ソワール","東S","-","- (-%)"
"8041","ＯＵＧ　ＨＬＤＧ","東S","2548","-4.0(-0.16%)"
"8043","スターゼン","東P","2710","-60.0(-2.17%)"
"8045","横浜丸魚","東S","924","+0.0(+0.00%)"
"8046","丸藤シートパイル","東S","2852","-105.0(-3.55%)"
"8050","セイコーグループ","東P","4080","-285.0(-6.53%)"
"8051","山善","東P","1328","-27.0(-1.99%)"
"8052","椿本興業","東P","2020","-111.0(-5.21%)"
"8053","住友商事","東P","3761.0","-125.0(-3.22%)"
"8056","ＢＩＰＲＯＧＹ","東P","4570.0","-82.0(-1.76%)"
"8057","内田洋行","東P","6940","-140.0(-1.98%)"
"8058","三菱商事","東P","3503.0","-131.0(-3.60%)"
"8059","第一実業","東P","1950","-65.0(-3.23%)"
"8060","キヤノンマーケティングジャパン","東P","4320.0","-91.0(-2.06%)"
"8061","西華産業","東P","3755","-195.0(-4.94%)"
"8065","佐藤商事","東P","1718","-49.0(-2.77%)"
"8066","三谷商事","東S","1730","+15.0(+0.87%)"
"8070","東京産業","東P","652","-21.0(-3.12%)"
"8072","日本出版貿易","東S","2491","-39.0(-1.54%)"
"8074","ユアサ商事","東P","5520","-130.0(-2.30%)"
"8075","神鋼商事","東P","6810","-210.0(-2.99%)"
"8076","カノークス","東S","1951","-53.0(-2.64%)"
"8077","トルク","東S","262","-6.0(-2.24%)"
"8078","阪和興業","東P","5740","-210.0(-3.53%)"
"8079","正栄食品工業","東P","4425","-90.0(-1.99%)"
"8081","カナデン","東P","1552","+60.0(+4.02%)"
"8084","ＲＹＯＤＥＮ","東P","2681","-85.0(-3.07%)"
"8085","ナラサキ産業","東S","3015","-10.0(-0.33%)"
"8086","ニプロ","東P","1263.5","-31.5(-2.43%)"
"8088","岩谷産業","東P","9006.0","-278.0(-2.99%)"
"8089","ナイス","東S","1715","-46.0(-2.61%)"
"8091","ニチモウ","東P","2171","-36.0(-1.63%)"
"8093","極東貿易","東P","1913","-60.0(-3.04%)"
"8095","アステナＨＬＤＧ","東P","487","-10.0(-2.01%)"
"8097","三愛オブリ","東P","1986","-95.0(-4.57%)"
"8098","稲畑産業","東P","3165","-40.0(-1.25%)"
"8101","ＧＳＩクレオス","東P","2256","-69.0(-2.97%)"
"8103","明和産業","東P","685","-6.0(-0.87%)"
"8104","クワザワＨＬＤＧ","東S","1062","-45.0(-4.07%)"
"8105","堀田丸正","東S","48","+0.0(+0.00%)"
"8107","キムラタン","東S","17","-1.0(-5.56%)"
"8111","ゴールドウイン","東P","9279.0","+13.0(+0.14%)"
"8113","ユニ・チャーム","東P","4554.0","-29.0(-0.63%)"
"8114","デサント","東P","3155","-75.0(-2.32%)"
"8115","ムーンバット","東S","810","-14.0(-1.70%)"
"8117","中央自動車工業","東S","5540","-90.0(-1.60%)"
"8118","キング","東S","714","-4.0(-0.56%)"
"8119","三栄コーポレーション","東S","2451","-15.0(-0.61%)"
"8123","川辺","東S","1476","-27.0(-1.80%)"
"8125","ワキタ","東P","1541","-32.0(-2.03%)"
"8127","ヤマトインターナショナル","東S","335","-8.0(-2.33%)"
"8129","東邦ＨＬＤＧ","東P","3671.0","-13.0(-0.35%)"
"8130","サンゲツ","東P","3285","-45.0(-1.35%)"
"8131","ミツウロコグループＨＬＤＧ","東S","1339","-31.0(-2.26%)"
"8132","シナネンＨＬＤＧ","東P","4645","-120.0(-2.52%)"
"8133","伊藤忠エネクス","東P","1543","-43.0(-2.71%)"
"8135","ゼット","東S","302","-5.0(-1.63%)"
"8136","サンリオ","東P","2705.5","-136.5(-4.80%)"
"8137","サンワテクノス","東P","2248","-86.0(-3.68%)"
"8138","三京化成","東S","3250","+0.0(+0.00%)"
"8139","ナガホリ","東S","1394","-25.0(-1.76%)"
"8141","新光商事","東P","959","-15.0(-1.54%)"
"8142","トーホー","東P","3200","-20.0(-0.62%)"
"8143","ラピーヌ","東S","285","-1.0(-0.35%)"
"8144","デンキョーグループＨＬＤＧ","東S","1290","-1.0(-0.08%)"
"8147","トミタ","東S","1400","-61.0(-4.18%)"
"8150","三信電気","東P","2048","-37.0(-1.77%)"
"8151","東陽テクニカ","東P","1528","-2.0(-0.13%)"
"8152","ソマール","東S","3975","-35.0(-0.87%)"
"8153","モスフードサービス","東P","3375","-20.0(-0.59%)"
"8154","加賀電子","東P","5980","-190.0(-3.08%)"
"8155","三益半導体工業","東P","2910","-30.0(-1.02%)"
"8157","都築電気","東P","2250","-24.0(-1.06%)"
"8158","ソーダニッカ","東P","1103","-45.0(-3.92%)"
"8159","立花エレテック","東P","3015","-65.0(-2.11%)"
"8160","木曽路","東P","2450","-21.0(-0.85%)"
"8163","ＳＲＳ　ＨＬＤＧ","東P","1093","-15.0(-1.35%)"
"8165","千趣会","東S","308","-3.0(-0.96%)"
"8166","タカキュー","東S","105","-2.0(-1.87%)"
"8167","リテールパートナーズ","東P","1739","-90.0(-4.92%)"
"8173","上新電機","東P","2476","-34.0(-1.35%)"
"8174","日本瓦斯","東P","2635.0","+3.0(+0.11%)"
"8179","ロイヤルＨＬＤＧ","東P","2435","-60.0(-2.40%)"
"8181","東天紅","東S","938","-105.0(-10.07%)"
"8182","いなげや","東P","1441","-12.0(-0.83%)"
"8185","チヨダ","東P","873","-10.0(-1.13%)"
"8194","ライフコーポレーション","東P","4035","-120.0(-2.89%)"
"8198","マックスバリュ東海","東S","3085","-10.0(-0.32%)"
"8200","リンガーハット","東P","2359","-16.0(-0.67%)"
"8202","ラオックスＨＬＤＧ","東S","225","-6.0(-2.60%)"
"8203","ＭｒＭａｘＨＤ","東P","645","-16.0(-2.42%)"
"8207","テンアライド","東S","292","-5.0(-1.68%)"
"8208","エンチョー","東S","950","+0.0(+0.00%)"
"8209","フレンドリー","東S","539","-1.0(-0.19%)"
"8214","ＡＯＫＩ　ＨＬＤＧ","東P","1111","-35.0(-3.05%)"
"8215","銀座山形屋","東S","1015","-36.0(-3.43%)"
"8217","オークワ","東P","1029","-22.0(-2.09%)"
"8218","コメリ","東P","3410","-115.0(-3.26%)"
"8219","青山商事","東P","1616","-35.0(-2.12%)"
"8225","タカチホ","東S","2600","-60.0(-2.26%)"
"8226","理経","東S","275","-4.0(-1.43%)"
"8227","しまむら","東P","7315.0","-126.0(-1.69%)"
"8230","はせがわ","東S","342","-4.0(-1.16%)"
"8233","高島屋","東P","2296.5","-58.0(-2.46%)"
"8237","松屋","東P","929","-71.0(-7.10%)"
"8242","エイチ・ツー・オー　リテイリン","東P","1855","-100.0(-5.12%)"
"8244","近鉄百貨店","東S","2150","-52.0(-2.36%)"
"8247","大和","東S","462","+2.0(+0.43%)"
"8252","丸井グループ","東P","2349.0","-54.5(-2.27%)"
"8253","クレディセゾン","東P","2882.5","-113.0(-3.77%)"
"8254","さいか屋","東S","389","-8.0(-2.02%)"
"8255","アクシアル　リテイリング","東P","1065","-20.0(-1.84%)"
"8260","井筒屋","東S","414","-16.0(-3.72%)"
"8267","イオン","東P","3266.0","-65.0(-1.95%)"
"8273","イズミ","東P","3691.0","-35.0(-0.94%)"
"8275","フォーバル","東S","1154","-41.0(-3.43%)"
"8276","平和堂","東P","2436","+31.0(+1.29%)"
"8278","フジ","東P","1954","-25.0(-1.26%)"
"8279","ヤオコー","東P","8690.0","-246.0(-2.75%)"
"8281","ゼビオＨＬＤＧ","東P","1015","-22.0(-2.12%)"
"8282","ケーズＨＬＤＧ","東P","1497.0","-39.5(-2.57%)"
"8283","ＰＡＬＴＡＣ","東P","4362.0","-18.0(-0.41%)"
"8285","三谷産業","東S","397","-8.0(-1.98%)"
"8289","Ｏｌｙｍｐｉｃグループ","東S","515","-8.0(-1.53%)"
"8291","日産東京販売ＨＬＤＧ","東S","554","-15.0(-2.64%)"
"8304","あおぞら銀行","東P","2462.5","-9.5(-0.38%)"
"8306","三菱ＵＦＪ　ＦＧ","東P","1509.0","-33.5(-2.17%)"
"8308","りそなＨＬＤＧ","東P","993.0","-20.5(-2.02%)"
"8309","三井住友トラストＨＬＤＧ","東P","3231.0","-60.0(-1.82%)"
"8316","三井住友ＦＧ","東P","8690.0","-247.0(-2.76%)"
"8331","千葉銀行","東P","1289.0","-24.5(-1.87%)"
"8334","群馬銀行","東P","854.2","-31.8(-3.59%)"
"8336","武蔵野銀行","東P","2905","-38.0(-1.29%)"
"8337","千葉興業銀行","東P","1065","-34.0(-3.09%)"
"8338","筑波銀行","東P","294","-9.0(-2.97%)"
"8341","七十七銀行","東P","4030","-135.0(-3.24%)"
"8343","秋田銀行","東P","1988","-37.0(-1.83%)"
"8344","山形銀行","東P","1128","-39.0(-3.34%)"
"8345","岩手銀行","東P","2436","-60.0(-2.40%)"
"8346","東邦銀行","東P","340","-1.0(-0.29%)"
"8349","東北銀行","東S","1165","-20.0(-1.69%)"
"8354","ふくおかＦＧ","東P","4070.0","-155.0(-3.67%)"
"8358","スルガ銀行","東P","951","-43.0(-4.33%)"
"8359","八十二銀行","東P","985.0","-29.5(-2.91%)"
"8360","山梨中央銀行","東P","1742","-58.0(-3.22%)"
"8361","大垣共立銀行","東P","2150","-53.0(-2.41%)"
"8362","福井銀行","東P","1824","-56.0(-2.98%)"
"8364","清水銀行","東P","1558","-23.0(-1.45%)"
"8365","富山銀行","東S","1831","-30.0(-1.61%)"
"8366","滋賀銀行","東P","3910","-100.0(-2.49%)"
"8367","南都銀行","東P","2952","-83.0(-2.73%)"
"8368","百五銀行","東P","613","-17.0(-2.70%)"
"8370","紀陽銀行","東P","1742","-32.0(-1.80%)"
"8377","ほくほくＦＧ","東P","1895.5","-99.5(-4.99%)"
"8381","山陰合同銀行","東P","1170","-29.0(-2.42%)"
"8383","鳥取銀行","東S","1372","-28.0(-2.00%)"
"8386","百十四銀行","東P","2852","-91.0(-3.09%)"
"8387","四国銀行","東P","1123","-28.0(-2.43%)"
"8388","阿波銀行","東P","2560","-65.0(-2.48%)"
"8392","大分銀行","東P","2815","-100.0(-3.43%)"
"8393","宮崎銀行","東P","2752","-50.0(-1.78%)"
"8395","佐賀銀行","東P","2041","-47.0(-2.25%)"
"8399","琉球銀行","東P","1132","-25.0(-2.16%)"
"8410","セブン銀行","東P","280.6","-3.2(-1.13%)"
"8411","みずほＦＧ","東P","2978.0","-61.0(-2.01%)"
"8416","高知銀行","東S","931","-34.0(-3.52%)"
"8418","山口ＦＧ","東P","1530.5","-57.0(-3.59%)"
"8424","芙蓉総合リース","東P","13910.0","-250.0(-1.77%)"
"8425","みずほリース","東P","1109","-27.0(-2.38%)"
"8439","東京センチュリー","東P","1588.0","-51.5(-3.14%)"
"8462","フューチャーベンチャーキャピタ","東S","502","-4.0(-0.79%)"
"8473","ＳＢＩ　ＨＬＤＧ","東P","3775.0","-79.0(-2.05%)"
"8508","Ｊトラスト","東S","474","-7.0(-1.46%)"
"8511","日本証券金融","東P","1575","-45.0(-2.78%)"
"8515","アイフル","東P","496","-36.0(-6.77%)"
"8518","日本アジア投資","東S","227","-3.0(-1.30%)"
"8522","名古屋銀行","東P","6300","-260.0(-3.96%)"
"8524","北洋銀行","東P","441","-16.0(-3.50%)"
"8537","大光銀行","東S","1416","-32.0(-2.21%)"
"8541","愛媛銀行","東P","1135","-13.0(-1.13%)"
"8542","トマト銀行","東S","1210","-21.0(-1.71%)"
"8544","京葉銀行","東P","733","-13.0(-1.74%)"
"8550","栃木銀行","東P","352","-8.0(-2.22%)"
"8551","北日本銀行","東P","2440","-32.0(-1.29%)"
"8558","東和銀行","東P","667","-18.0(-2.63%)"
"8562","福島銀行","東S","303","-9.0(-2.88%)"
"8563","大東銀行","東S","720","-10.0(-1.37%)"
"8566","リコーリース","東P","5250","-80.0(-1.50%)"
"8570","イオンフィナンシャルサービス","東P","1283.5","-20.0(-1.53%)"
"8572","アコム","東S","403.1","-13.4(-3.22%)"
"8584","ジャックス","東P","5470","-100.0(-1.80%)"
"8585","オリエントコーポレーション","東P","1049","-15.0(-1.41%)"
"8591","オリックス","東P","3179.0","-75.0(-2.30%)"
"8593","三菱ＨＣキャピタル","東P","1025.5","-27.0(-2.57%)"
"8595","ジャフコ　グループ","東P","1769.0","-90.5(-4.87%)"
"8596","九州リースサービス","東S","1299","-58.0(-4.27%)"
"8600","トモニＨＬＤＧ","東P","408","-12.0(-2.86%)"
"8601","大和証券グループ本社","東P","1103.0","-36.5(-3.20%)"
"8604","野村ＨＬＤＧ","東P","913.8","-43.4(-4.53%)"
"8609","岡三証券グループ","東P","749","-16.0(-2.09%)"
"8613","丸三証券","東P","1039","+4.0(+0.39%)"
"8614","東洋証券","東P","351","-2.0(-0.57%)"
"8616","東海東京フィナンシャルＨＬＤＧ","東P","565","-16.0(-2.75%)"
"8617","光世証券","東S","724","-15.0(-2.03%)"
"8622","水戸証券","東P","469","+3.0(+0.64%)"
"8624","いちよし証券","東P","783","-12.0(-1.51%)"
"8628","松井証券","東P","806","-3.0(-0.37%)"
"8630","ＳＯＭＰＯ　ＨＬＤＧ","東P","3066.0","-121.0(-3.80%)"
"8697","日本取引所グループ","東P","3912.0","-215.0(-5.21%)"
"8698","マネックスグループ","東P","843","-34.0(-3.88%)"
"8699","ＨＳＨＬＤＧ","東S","951","+0.0(+0.00%)"
"8700","丸八証券","東S","1614","+14.0(+0.88%)"
"8704","トレイダーズＨＬＤＧ","東S","710","-32.0(-4.31%)"
"8705","日産証券グループ","東S","228","-7.0(-2.98%)"
"8706","極東証券","東P","1514","-14.0(-0.92%)"
"8707","岩井コスモＨＬＤＧ","東P","2214","-12.0(-0.54%)"
"8708","アイザワ証券グループ","東P","1198","-25.0(-2.04%)"
"8713","フィデアＨＬＤＧ","東P","1519","-31.0(-2.00%)"
"8714","池田泉州ＨＬＤＧ","東P","380","-5.0(-1.30%)"
"8715","アニコムＨＤ","東P","568","-8.0(-1.39%)"
"8725","ＭＳ＆ＡＤインシュアランスＨＤ","東P","2667.0","-124.0(-4.44%)"
"8732","マネーパートナーズグループ","東S","279","-2.0(-0.71%)"
"8737","あかつき本社","東S","471","-17.0(-3.48%)"
"8739","スパークス・グループ","東P","1735","-29.0(-1.64%)"
"8742","小林洋行","東S","356","-18.0(-4.81%)"
"8746","第一商品","東S","180","-3.0(-1.64%)"
"8747","豊トラスティ証券","東S","1429","+0.0(+0.00%)"
"8750","第一生命ＨＬＤＧ","東P","3526.0","-126.0(-3.45%)"
"8766","東京海上ＨＬＤＧ","東P","4615.0","-252.0(-5.18%)"
"8769","アドバンテッジリスクマネジメン","東S","398","-6.0(-1.49%)"
"8771","イー・ギャランティ","東P","1719","+19.0(+1.12%)"
"8772","アサックス","東S","748","-12.0(-1.58%)"
"8783","ＧＦＡ","東S","62","+3.0(+5.08%)"
"8789","フィンテック　グローバル","東S","89","-3.0(-3.26%)"
